quote,author,sentiment_class
"“When someone says that I’m angry it’s actually a compliment. I have not always been direct with my anger in my relationships, which is part of why I’d write about it in my songs because I had such fear around expressing anger as a woman.”",– Alanis Morissette,Angry
"Anybody can become angry – that is easy, but to be angry with the right person and to the right degree and at the right time and for the right purpose, and in the right way – that is not within everybody’s power and is not easy.”",– Aristotle,Angry
"Anger makes you smaller, while forgiveness forces you to grow beyond what you are.”",– Cherie Carter-Scott,Angry
“Never forget what a man says to you when he is angry.”,– Henry Ward Beecher,Angry
How much more grievous are the consequences of anger than the causes of it.”,– Marcus Aurelius,Angry
"“If we wish to express anger fully, the first step is to divorce the other person from any responsibility for our anger.”",– Marshall Rosenberg,Angry
“Bitterness is like cancer. It eats upon the host. But anger is like fire. It burns it all clean.”,– Maya Angelou,Angry
"“There are two things a person should never be angry at, what they can help, and what they cannot.”",– Plato,Angry
"Anger is like a storm rising up from the bottom of your consciousness. When you feel it coming, turn your focus to your breath.”",– Thich Nhat Hanh,Angry
"“When your day is a museum of disappointments, hanging from events that were outside of your control, when you feel like your guardian angel put in his two weeks notice two months ago and just decided not to tell you.”",— Rudy Francisco,Angry
“To deny people their human rights is to challenge their very humanity.”,– Nelson Mandela,Compassion
“What is tolerance? It is the consequence of humanity. We are all formed of frailty and error; let us pardon reciprocally each other’s folly – that is the first law of nature.”,– Voltaire,Compassion
With compassion one becomes courageous. Compassion brings triumph when attacked; it brings security when maintained.,- Tao Te Ching,Compassion
Sometimes all a person wants is an empathetic ear; all he or she needs is to talk it out. Just offering a listening ear and an understanding heart for his or her suffering can be a big comfort.,- Roy T. Bennett,Compassion
“A simple smile. That’s the start of opening your heart and being compassionate to others.”,– Dalai Lama,Compassion
"“Love and compassion are necessities, not luxuries. Without them, humanity cannot survive.”",– Dalai Lama,Compassion
"That’s what I consider true generosity: You give your all, and yet you always feel as if it costs you nothing.",Simone de Beauvoir,Compassion
"Some people think only intellect counts: knowing how to solve problems, knowing how to get by, knowing how to identify an advantage and seize it. But the functions of intellect are insufficient without courage, love, friendship, compassion, and empathy.",Dean Koontz,Compassion
"Compassion is the awareness of a deep bond between yourself and all creatures. On the one hand, since you are still here as a physical body, you share the vulnerability and mortality of your physical form with every other human and with every living being. On the level of form, you share mortality and the precariousness of existence.",Ekhart Tolle | The Power Of Now,Compassion
"Is that what compassion is? Yes. Compassion is the awareness of a deep bond between yourself and all creatures. But there are two sides to compassion, two sides to this bond. On the one hand, since you are still here as a physical body, you share the vulnerability and mortality of your physical form with every other human and with every living being. Next time you say “I have nothing in common with this person,” remember that you have a great deal in common: …",Eckhart Tolle,Compassion
"Lincoln’s appeal to ‘the better angels of our nature’ failed to avert a fratricidal war. But the compassionate wisdom of Lincoln’s first and second inaugurals bequeathed to the Union, cemented with blood, a moral heritage which, when drawn upon in times of stress and strife, is sure to find specific ways and means to surmount difficulties that may appear to be insurmountable.",Felix Frankfurter,Compassion
The value of compassion cannot be over,-emphasized. Anyone can criticize. It takes a true believer to be compassionate. No greater burden can be borne by an individual than to know no one cares or understands.,Compassion
"Compassion is not to be numbered among the general faults of mankind. The black ingredient which fouls our disposition is envy. Hence our eyes, it is to be feared, are seldom turned up to those who are manifestly greater, better, wiser, or happier than ourselves, without some degree of malignity, we commonly look downward on the mean and miserable with sufficient benevolence and pity.",Henry Fielding,Compassion
“We must remember that one determined person can make a significant difference and that a small group of determined people can change the course of history.” –,Sonia Johnson,Determination
"“You can only succeed when you are determined because, with determination, you will be able to look for solutions to your problems even if it seems impossible to do.”",– Aidin Safavi,Determination
"An invincible determination can accomplish almost anything, and in this lies the great distinction between great men and little men.”",– Thomas Fuller,Determination
"To someone who is called to greatness in life, you will see the person will have such determination, determination beyond the ordinary.”",,Determination
"Determination, and flaming determination, is the driving spirit of every achievement aimed at breaking through the challenges.” –",Salam Al Shereida,Determination
"“It does not matter how slowly you go, as long as you do not stop.”",— Confucius,Determination
"The world breaks everyone, and afterward, some are strong at the broken places.”","— Ernest Hemingway, A Farewell to Arms",Determination
Concentrate all your thoughts upon the work in hand. The sun’s rays do not burn until brought to a focus.”,—Alexander Graham Bell,Determination
"The greatest glory in living lies not in never falling, but in rising every time we fall.”",— Nelson Mandela,Determination
“Nothing in the world can take the place of persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan ‘Press On’ has solved and always will solve the problems of the human race.”,—Calvin Coolidge,Determination
That which does not kill us makes us stronger.”,— Friedrich Nietzsche,Determination
"The beauty is that through disappointment you can gain clarity, and with clarity comes conviction and true originality.”",— Conan O’Brien,Disappointment
"“He who is not satisfied with a little, is satisfied with nothing.”",— Epicurus,Disappointment
“Disappointment is really just a term for our refusal to look on the bright side.”,— Richelle E. Goodrich,Disappointment
"Whenever you’re feeling sad, just remember that some of the best days of your life have yet to come",Anonymous,Disappointment
“Disappointment is just the action of your brain readjusting itself to reality after discovering things are not the way you thought they were.”,— Brad Warner,Disappointment
"“Disappointment focuses on ‘what is not,’ and completely misses the far greater reality of ‘what now is.’”",— Craig D. Lounsbrough,Disappointment
“Disappointment is a sort of bankruptcy – the bankruptcy of a soul that expends too much in hope and expectation.”,"— Eric Hoffer, The Passionate State of Mind",Disappointment
Most things disappoint till you look deeper.”,— Graham Greene,Disappointment
"“Young alienation, disappointment, and heartache is all a part of the first real growing up that we do.”",— Judd Nelson,Disappointment
“Burning desire to be or do something gives us staying power—a reason to get up every morning or to pick ourselves up and start in again after a disappointment.”,— Marsha Sinetar,Disappointment
"“It’s hard to fail, but it’s worse never to have tried to succeed.”",— Theodore Roosevelt,Failure
"Failure isn't fatal, but failure to change might be",- John Wooden,Failure
Everything you want is on the other side of fear.,Jack Canfield,Failure
“Success is most often achieved by those who don't know that failure is inevitable.”,Coco Chanel,Failure
“Only those who dare to fail greatly can ever achieve greatly.”,- Robert F. Kennedy,Failure
“The phoenix must burn to emerge.”,Janet Fitch,Failure
"“If you're not prepared to be wrong, you'll never come up with anything original.”",- Ken Robinson,Failure
“Giving up is the only sure way to fail.”,- Gena Showalter,Failure
"“If you don’t try at anything, you can’t fail… it takes back bone to lead the life you want”",- Richard Yates,Failure
"“Failure should be our teacher, not our undertaker. Failure is delay, not defeat. It is a temporary detour, not a dead end. Failure is something we can avoid only by saying nothing, doing nothing, and being nothing.”",- Denis Waitley,Failure
"I have not failed. I've just found 10,000 ways that won't work.”",― Thomas A. Edison,Failure
“Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.”,Dale Carnegie,Failure
Friendship is certainly the finest balm for the pangs of disappointed love.”,— Jane Austen,Happiness
"“In the end, we will remember not the words of our enemies, but the silence of our friends.”",— Martin Luther King Jr.,Happiness
"“Happiness is not in the mere possession of money; it lies in the joy of achievement, in the thrill of creative effort.”", —Franklin D. Roosevelt,Happiness
“Being happy isn’t having everything in your life be perfect. Maybe it’s about stringing together all the little things.”,– Ann Brashares,Happiness
"“A sure way to lose happiness, I found, is to want it at the expense of everything else.”",– Bette Davis,Happiness
"“And finally, in all of living have much of fun and laughter. Life is to be enjoyed, not just endured.”",– Gordon B. Hinchley,Happiness
"“Count your age by friends, not years. Count your life by smiles, not tears.”",– John Lennon,Happiness
"“As long as he’s happy, I am happy.”",– Joseph Jackson,Happiness
“Be happy for this moment. This moment is your life.”,– Omar Khayyam,Happiness
For every minute you are angry you lose sixty seconds of happiness.”,– Ralph Waldo Emerson,Happiness
“Accept who you are”,— Ellen DeGeneres,Happiness
"When your children are teenagers, it’s important to have a dog so that someone in the house is happy to see you.”",— Nora Ephron,Happiness
The secret to being happy is to find peace where you are even if you’re not yet where you want to be,Anonymous,Happiness
You’ll instantly discover true happiness when you stop looking for reasons to be unhappy,Anonymous,Happiness
“If you want happiness for an hour—take a nap. If you want happiness for a day—go fishing. If you want happiness for a year—inherit a fortune. If you want happiness for a lifetime—help someone else.”,Chinese Proverb,Happiness
“Happiness is not something ready,-made. It comes from your own actions.” ,Happiness
"To be kind to all, to like many and love a few, to be needed and wanted by those we love, is certainly the nearest we can come to happiness.”",Mary Stuart ,Happiness
“Happiness is holding someone in your arms and knowing you hold the whole world.”,Orkhan Pamuk,Happiness
"There is a magnet in your heart that will attract true friends. That magnet is unselfishness, thinking of others first; when you learn to live for others, they will live for you.",Paramahansa Yogananda,Happiness
"If you have good thoughts, they will shine out of your face like sunbeams, and you will always look lovely.”",Roald Dahl,Happiness
You should feel beautiful and you should feel safe. What you surround yourself with should bring you peace of mind and peace of spirit.”,Stacy London,Happiness
"I believe in Liberty for all men: the space to stretch their arms and their souls, the right to breathe and the right to vote, the freedom to choose their friends, enjoy the sunshine, and ride on the railroads, uncursed by color; thinking, dreaming, working as they will in a kingdom of beauty and love.",W.e.b. Du Bois,Happiness
"He who thinks great thoughts, often makes great errors",- Martin Heidegger,Leadership
The unexamined life is not worth living,- Socrates,Leadership
“The best fighter is never angry.”,– Lao Tzu,Leadership
“An individual has not started living until he can rise above the narrow confines of his individualistic concerns to the broader concerns of all humanity.”,"– Martin Luther King, Jr.",Leadership
It doesn’t make sense to hire smart people and then tell them what to do. We hire smart people so they can tell us what to do.,– Steve Jobs,Leadership
“The journey of a thousand miles begins with a single step.”,— Lao Tzu,Leadership
“Life is 10% what happens to us and 90% how we react to it.”,— Charles R. Swindoll,Leadership
"The beauty is that through disappointment you can gain clarity, and with clarity comes conviction and true originality.”",— Conan O’Brien,Leadership
"“It is better either to be silent, or to say things of more value than silence. Sooner throw a pearl at hazard than an idle or useless word; and do not say a little in many words, but a great deal in a few.”",— Pythagoras,Leadership
“Nothing in the world can take the place of persistence. Talent will not; nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. The slogan ‘Press On’ has solved and always will solve the problems of the human race.”,—Calvin Coolidge,Leadership
He who conquers himself is the mightiest warrior.”,—Confucius,Leadership
“Be a positive energy trampoline—absorb what you need and rebound more back.”,—Dave Carolan,Leadership
“A successful man is one who can lay a firm foundation with the bricks others have thrown at him.”,—David Brinkley,Leadership
"The elevator to success is out of order. You’ll have to use the stairs, one step at a time.”",—Joe Girard,Leadership
"“Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven’t found it yet, keep looking. Don’t settle. As with all matters of the heart, you’ll know when you find it.”",—Steve Jobs,Leadership
"“I’m a great believer in luck, and I find the harder I work, the more I have of it.”",—Thomas Jefferson,Leadership
"“Individual commitment to a group effort—that is what makes a team work, a company work, a society work, a civilization work.”",—Vince Lombardi,Leadership
Success is not final; failure is not fatal: It is the courage to continue that counts.”,—Winston Churchill,Leadership
The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty.”,—Winston Churchill,Leadership
“Be the change that you wish to see in the world.”,― Mahatma Gandhi,Leadership
"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”",― Margaret Mead,Leadership
“Teamwork is the ability to work together toward a common vision. The ability to direct individual accomplishments toward organizational objectives. It is the fuel that allows common people to attain uncommon results.”,Andrew Carnegie,Leadership
"Fools give full vent to their rage, but the wise bring calm in the end.”",Anonymous,Leadership
"“However many holy words you read, however many you speak, what good will they do you if you do not act on upon them?”",Buddha,Leadership
One who conquers others is strong. One who conquers himself is all,-powerful.,Leadership
"“Courage is the most important of all the virtues because without courage, you can't practice any other virtue consistently.”",Maya Angelou,Leadership
"“Remember, teamwork begins by building trust. And the only way to do that is to overcome our need for invulnerability.”",Patrick Lencioni,Leadership
"“You can’t be that kid standing at the top of the waterslide, overthinking it. You have to go down the chute.”",Tina Fey,Leadership
"“It is better either to be silent, or to say things of more value than silence. Sooner throw a pearl at hazard than an idle or useless word; and do not say a little in many words, but a great deal in a few.”",— Pythagoras,Life Lesson
“Nothing exists except atoms and empty space; everything else is opinion.”,— Democritus,Life Lesson
"“The mind is not a vessel to be filled, but a fire to be kindled.”",— Plutarch,Life Lesson
"Every man I meet is in some way my superior, and in that, I can learn of him.”",— Ralph Waldo Emerson,Life Lesson
We cannot solve problems with the kind of thinking we employed when we came up with them.”,—Albert Einstein,Life Lesson
“And the day came when the risk to remain tight in a bud was more painful than the risk it took to blossom.”,—Anaïs Nin,Life Lesson
"‘Education is the kindling of a flame, not the filling of a vessel.’",–Socrates,Life Lesson
‘It is not that I’m so smart. But I stay with the questions much longer.’,–Albert Einstein,Life Lesson
"‘By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.’",Confucius,Life Lesson
A little learning is a dangerous thing.’,–Alexander Pope,Life Lesson
Enlightenment is man’s leaving his self-caused immaturity. Immaturity is the incapacity to use one’s intelligence without the guidance of another. Such immaturity is self,"-caused if it is not caused by lack of intelligence, but by lack of determination and courage to use one’s intelligence without being guided by another. Sapere Aude! Have the courage to use your own intelligence! is therefore the motto of the enlightenment.’",Life Lesson
"The more I read, the more I acquire, the more certain I am that I know nothing.’",–Voltaire,Life Lesson
"To endure uncertainty is difficult, but so are most of the other virtues.’",–Bertrand Russell,Life Lesson
"‘It may be that when we no longer know what to do we have come to our real work, and that when we no longer know which way to go we have come to our real journey. The mind that is not baffled is not employed. The impeded stream is the one that sings.’",–Wendell Berry,Life Lesson
"That which we persist in doing becomes easier for us to do; not that the nature of the thing itself is changed, but that our power to do is increased.’",–Ralph Waldo Emerson,Life Lesson
Don’t just teach your children to read. Teach them to question what they read. Teach them to question everything.’,,Life Lesson
A man who reads too much and uses his own brain too little falls into lazy habits of thinking.’,–Albert Einstein,Life Lesson
"‘If you haven’t learned the meaning of friendship, you haven’t learned anything.’",,Life Lesson
Anyone who has begun to think places some portion of the world in jeopardy.’,–John Dewey,Life Lesson
“I do love nothing in the world so well as you — is not that strange?”,"— William Shakespeare, “Much Ado About Nothing”",Regret
You could not step twice into the same river.”,— Heraclitus,Regret
“Regrets are not inherited. Regrets are those elements of life that seek to undermine our enthusiasm and our willingness to assume a life filled with new discoveries and the attainment of goals. Let not your regrets be your undoing but instead your vehicle to learn from what did not work.”,– Byron Pulsifer,Regret
"“Never regret anything from your past because one day, you'll look back and thank it for hurting you so much that you decided to become a stronger human being.”",– Faith Star,Regret
"“Have no regrets. The elderly usually don't have regrets for what we did, but rather for things we did not do. The only people who fear death are those with regrets.”",,Regret
"“A great source of calamity lies in regret and anticipation; therefore a person is wise who thinks of the present alone, regardless of the past or future.”",– Oliver Goldsmith,Regret
"“We cannot always change what has happened to us, but we can change how we react and how we live in the future. Living with no regrets is living successfully.”",– Dr. Ellen Taricani,Regret
"“Regret, remorse, sorrow all emotions that can result in negative feelings. Only you can change your emotions to positive ones, you cannot change the past but you can change the future”",– Catherine Pulsifer,Regret
“Stop fretting about past decisions. They have provided valuable wisdom. Go forward without fear or regret.”,– Paul Martens,Regret
"“Never regret. If it's good, it's wonderful. If it's bad, it's experience.”",– Victoria Holt,Regret
"“When tomorrow comes this day will be gone forever, but I shall hold something which I have traded for it. It may be no more than a memory, but if it is a worthy one I shall not regret the price.”",– Unknown,Regret
"“Regret is an odd emotion because it comes only upon reflection. Regret lacks immediacy, and so its power seldom influences events when it could do some good.”",– William O'Rourke,Regret
“Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.”,– Sydney Harris,Regret
“There is no point in regretting for things that have happened but it makes a big difference to think about a solution or idea to change the unexpected outcome or effects of the choices made.” e,– Lindsay Halli,Regret
"“First, imagine taking the potentially regret – producing path of inaction. Then imagine what the very best outcome would be were you to take this risk. By picturing both scenarios in advance, you can avoid the regret of what might have been.”",– Wayne Dyer,Regret
"“When one door closes another door opens; but we so often look so long and so regretfully upon the closed door, that we do not see the ones which open for us.”",– Alexander Graham Bell,Regret
“Success is stumbling from failure to failure with no loss of enthusiasm,.” ―Winston Churchill,Success
“Coming together is a beginning. Keeping together is progress. Working together is success.”,Henry Ford,Success
“I never dreamed about success. I worked for it.”,it.” —Estée Lauder,Success
"If you want to make a permanent change, stop focusing on the size of your problems and start focusing on the size of you!",T. Harv Eker,Success
Successful people do what unsuccessful people are not willing to do. Don't wish it were easier; wish you were better.,Jim Rohn,Success
"The No. 1 reason people fail in life is because they listen to their friends, family, and neighbors.",Napoleon Hill,Success
"In my experience, there is only one motivation, and that is desire. No reasons or principle contain it or stand against it.",Jane Smiley,Success
Success does not consist in never making mistakes but in never making the same one a second time.,George Bernard Shaw,Success
I don't want to get to the end of my life and find that I lived just the length of it. I want to have lived the width of it as well.,Diane Ackerman,Success
"If you don't design your own life plan, chances are you'll fall into someone else's plan. And guess what they have planned for you? Not much.",Jim Rohn,Success
"Nobody ever wrote down a plan to be broke, fat, lazy, or stupid. Those things are what happen when you don't have a plan.",Larry Winget,Success
To be successful you must accept all challenges that come your way. You can't just accept the ones you like.,Mike Gafka,Success
"Be content to act, and leave the talking to others.",Baltasar,Success
You may have to fight a battle more than once to win it.,Margaret Thatcher,Success
Be patient with yourself. Self,"-growth is tender; it's holy ground. There's no greater investment.""",Success
"I owe my success to having listened respectfully to the very best advice, and then going away and doing the exact opposite.",G. K. Chesterton,Success
Many of life's failures are people who did not realize how close they were to success when they gave up.,Thomas A. Edison,Success
"The whole secret of a successful life is to find out what is one's destiny to do, and then do it."" Henry Ford",,Success
"If you're going through hell, keep going."" Winston Churchill",,Success
"What seems to us as bitter trials are often blessings in disguise."" Oscar Wilde",,Success
"The distance between insanity and genius is measured only by success."" Bruce Feirstein",,Success
"Don't be afraid to give up the good to go for the great."" John D. Rockefeller",,Success
"Happiness is a butterfly, which when pursued, is always beyond your grasp, but which, if you will sit down quietly, may alight upon you."" Nathaniel Hawthorne",,Success
"If you can't explain it simply, you don't understand it well enough."" Albert Einstein",,Success
"There are two types of people who will tell you that you cannot make a difference in this world: those who are afraid to try and those who are afraid you will succeed."" Ray Goforth",,Success
"Start where you are. Use what you have. Do what you can."" Arthur Ashe",,Success
"People ask, 'What's the best role you've ever played?' The next one."" Kevin Kline",,Success
"I find that the harder I work, the more luck I seem to have."" Thomas Jefferson",,Success
"The starting point of all achievement is desire."" Napoleon Hill",,Success
"Success is the sum of small efforts, repeated day-in and day","-out."" Robert Collier",Success
"If you want to achieve excellence, you can get there today. As of this second, quit doing less-than","-excellent work."" Thomas J. Watson",Success
"All progress takes place outside the comfort zone."" Michael John Bobak",,Success
"You may only succeed if you desire succeeding; you may only fail if you do not mind failing."" Philippos",,Success
"Courage is resistance to fear, mastery of fear-","-not absence of fear."" Mark Twain",Success
"If you learn from defeat, you haven't really lost."" — Zig Ziglar",,Life Lesson
"Learn continually. There's always “one more thing” to learn."" — Steve Jobs",,Life Lesson
"I hear and I forget. I see and I remember. I do and I understand."" — Confucius",,Life Lesson
"Anyone who has never made a mistake has never tried anything new."" — Albert Einstein",,Life Lesson
"A man only learns in two ways, one by reading, and the other by association with smarter people."" — Will Rogers",,Life Lesson
"If you want to increase your success rate, double your failure rate."" — Thomas J. Watson",,Life Lesson
"It is what we know already that often prevents us from learning."" — Claude Bernard",,Life Lesson
"Power corrupts. Knowledge is power. Study hard. Be evil."" — Eleanor Roosevelt",,Life Lesson
"Mathematics is the language with which God has written the universe."" — Galileo Galilei",,Life Lesson
"Learning is not attained by chance, it must be sought for with ardor and diligence."" — Abigail Adams",,Life Lesson
"Common sense is the collection of prejudices acquired by age eighteen."" — Albert Einstein",,Life Lesson
"A teacher who is attempting to teach without inspiring the pupil with a desire to learn is hammering on cold iron."" — Horace Mann",,Life Lesson
"Knowledge has to be improved, challenged, and increased constantly, or it vanishes."" — Peter Drucker",,Life Lesson
"All the world is my school and all humanity is my teacher."" — George Whitman",,Life Lesson
"I am quite correctly described as ‘more of a sponge than an inventor…."" — Thomas Edison",,Life Lesson
"Regret should be handled swiftly, and you shouldn't hold onto it. People spend their entire lives regretting what they didn't do and what they should've done. Hey, man, you did what you did.” – John Mellencamp",,Regret
“Make it a rule of life never to regret and never to look back. Regret is an appalling waste of energy; you can't build on it; it's only good for wallowing in.” – Katherine Mansfield,,Regret
"“I have tons of regrets, but I think that's one of the reasons that push people to create things. Out of their angst, their regret, comes the best from artists, painters and writers.” – Sylvester Stallone",,Regret
"“The past could always be annihilated. Regret, denial, or forgetfulness could do that. But the future was inevitable.” – Oscar Wilde",,Regret
“Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.” – Sydney J. Harris,,Regret
“My dad used to say that living with regrets was like driving a car that only moved in reverse.” – Jodi Picoult,,Regret
"“Take the stupidest thing you've ever done. At least it's done. It's over. It's gone. We can all learn from our mistakes and heal and move on. But it's harder to learn or heal or move on from something that hasn't happened; something we don't know and is therefore indefinable; something which could very easily have been the best thing in our lives, if only we'd taken the plunge, if only we'd held our breath and stood up and done it, if only we'd said yes.” – Danny Wallace",,Regret
"“If you are afraid to take a chance, take one anyway. What you don't do can create the same regrets as the mistakes you make.” – Iyanla Vanzant",,Regret
"“I would much rather have regrets about not doing what people said, than regretting not doing what my heart led me to and wondering what life had been like if I'd just been myself.” – Brittany Renee",,Regret
"“Make the most of your regrets; never smother your sorrow, but tend and cherish it till it comes to have a separate and integral interest. To regret deeply is to live afresh.” – Henry David Thoreau",,Regret
The only thing I regret about my past is the length of it. If I had to live my life again I'd make all the same mistakes – only sooner.” – Tallulah Bankhead,,Regret
"“There is no need to lament on the bygone failures, instead concentrate on things that you can change and let other things take their own course.” – Robert Gallagher",,Regret
“Regret doesn't remind us that we did badly. It reminds us that we know we can do better.” – Kathryn Schulz,,Regret
“I don't dwell in the past; I don't wallow in old events and emotions. I don't waste time on regret. No use going over and over the details of what already happened.” – Yanni,,Regret
"“I don't do regrets. Regrets are pointless. It's too late for regrets. You've already done it, haven't you? You've lived your life. No point wishing you could change it.” – Lemmy Kilmister",,Regret
"We should regret our mistakes and learn from them, but never carry them forward into the future with us.” – Lucy Maud Montgomery",,Regret
"“I don't regret things, because I learn from mistakes. If needs be, I always make amends.” – Marc Warren",,Regret
“No amount of guilt can change the past and no amount of worrying can change the future.” – Umar ibn Al,-Khattab,Regret
"A happy life is one spent in learning, earning, and yearning.” – Lillian Gish",,Happiness
“A happy life consists not in the absence but in the mastery of hardships.” – Helen Keller,,Happiness
"“Optimism is a happiness magnet. If you stay positive, good things and good people will be drawn to you.” – Mary Lou Retton",,Happiness
“It’s been my experience that you can nearly always enjoy things if you make up your mind firmly that you will.” – L.M. Montgomery,,Happiness
“A smile is the universal welcome.” – Max Eastman,,Happiness
“Keep your face always toward the sunshine—and shadows will fall behind you.” – Walt Whitman,,Happiness
“The only way to do great work is to love what you do.” – Steve Jobs,,Happiness
"“The more you feed your mind with positive thoughts, the more you can attract great things into your life.” – Roy T. Bennett",,Happiness
“Be happy with what you have. Be excited about what you want.” – Alan Cohen,,Happiness
"“A positive attitude causes a chain reaction of positive thoughts, events, and outcomes. It is a catalyst, and it sparks extraordinary results.” – Wade Boggs",,Happiness
“Now and then it’s good to pause in our pursuit of happiness and just be happy.” – Guillaume Apollinaire,,Happiness
"“Happiness is a choice, not a result. Nothing will make you happy until you choose to be happy.” – Ralph Marston",,Happiness
“The only real failure in life is not to be true to the best one knows.”,- Buddha,Failure
"“My great concern is not whether you have failed, but whether you are content with failure.”",- Abraham Lincoln,Failure
"“Don’t be afraid to fail. Don’t waste energy trying to cover up failure. Learn from your failures and go on to the next challenge. It’s ok to fail. If you’re not failing, you’re not growing.”",- H. Stanley Judd,Failure
“Think like a queen. A queen is not afraid to fail. Failing is another steppingstone to greatness.”,- Oprah Winfrey,Failure
"“Remember that failure is an event, not a person.”",- Zig Ziglar,Failure
“Failure after long perseverance is much grander than never to have a striving good enough to be called a failure.”,- George Eliot,Failure
“Why do I talk about the benefits of failure? Simply because failure meant a stripping away of the inessential. I stopped pretending to myself that I was anything other than what I was and began to direct all my energy into finishing the only work that mattered to me.”,- J.K. Rowling,Failure
“I’ve missed more than 9000 shots in my career. I’ve lost almost 300 games. Twenty-six times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life. And that is why I succeed.”,- Michael Jordan,Failure
"“With a hint of good judgment, to fear nothing, not failure or suffering or even death, indicates that you value life the most. You live to the extreme; you push limits; you spend your time building legacies. Those do not die.” ― Criss Jami",,Failure
"“Our greatest glory is not in never failing, but in rising every time we fail.” – Confucius",,Failure
"Failure is a part of the process. You just learn to pick yourselfback up."" ― Michelle Obama",,Failure
“The master has failed more times than the beginner has tried.” – Stephen McCranie,,Failure
"What is the point of being alive if you don't at least try to do something remarkable?"" ― John Green",,Failure
"“Failure is simply the opportunity to begin again, this time more intelligently.” – Henry Ford",,Failure
"“No human ever became interesting by not failing. The more you fail and recover and improve, the better you are as a person. Ever meet someone who’s always had everything work out for them with zero struggle? They usually have the depth of a puddle. Or they don’t exist.” ― Chris Hardwick",,Failure
"“Try a thing you haven’t done three times. Once, to get over the fear of doing it. Twice, to learn how to do it. And a third time to figure out whether you like it or not.” – Virgil Thomson",,Failure
“Success is due to our stretching to the challenges of life. Failure comes when we shrink from them.” – John C. Maxwell,,Failure
